CT2010	BuiltFAR	ResidFAR	CommFAR
299	2.01	0	1
291	2.83	3.44	0
291	3.79	3.44	0
299	0.6	3.44	0
299	3.51	3.44	0
291	3.53	3.44	0
299	1	0	1
291	2.71	3.44	3.4
299	0	0	2
299	0.21	3.44	0
299	3	0	1
299	0	0	1
291	3.41	3.44	0
291	2.73	3.44	0
291	3.42	3.44	3.4
299	0	0	2
299	3.56	3.44	0
299	0	0	2
299	0	0	2
291	2.74	3.44	3.4
299	2	0	2
299	0	0	2
299	2.06	3.44	0
299	0	3.44	0
299	0.9	0	2
299	0	0	2
299	0.71	3.44	0
299	1	0	1
299	0.28	0	1
291	2.73	3.44	0
299	0	0	0
299	1	0	1
291	1	3.44	0
299	1.51	3.44	0
299	0	0	1
299	1	0	1
299	0	0	1
299	1.31	3.44	0
299	0	0	1
291	2.74	3.44	0
311	0	0	0
299	2	0	1
291	2.79	3.44	0
299	1.16	0	1
299	0	0	2
291	3.42	3.44	3.4
299	0	0	1
299	2.55	3.44	0
299	3.56	3.44	0
299	0	0	2
299	0.35	0	2
299	0	0	2
295	1.43	3.44	0
295	4.24	3.44	0
295	3.89	3.44	0
295	1.36	3.44	0
295	3.78	3.44	0
291	0.8	3.44	3.4
295	3.7	3.44	0
295	3.43	3.44	0
291	0.95	3.44	0
291	3.51	3.44	3.4
295	1.1	3.44	0
295	1.55	3.44	0
295	0.96	3.44	0
291	1	3.44	3.4
295	1.42	3.44	0
295	1.36	3.44	0
295	4.39	3.44	0
295	4.17	3.44	0
295	3.78	3.44	0
295	2.8	3.44	0
295	1.64	3.44	0
295	4.09	3.44	0
295	3.84	3.44	0
295	3.51	3.44	0
295	1.32	3.44	0
295	0.64	3.44	0
295	1.1	3.44	0
295	3.54	3.44	0
291	3.99	3.44	3.4
295	0.99	3.44	0
295	0.37	3.44	0
295	1.1	3.44	0
295	1.09	3.44	0
291	2.55	3.44	3.4
291	3.99	3.44	3.4
291	3.15	3.44	0
 	0	0	2
309	1.76	2.43	0
291	3.04	3.44	0
307	4.43	3.44	0
299	0.89	0	2
309	0.85	2.43	0
 	0	0	2
309	0.9	3.44	0
291	3.41	3.44	0
293	3.65	3.44	0
293	2.23	0	2
291	2.74	3.44	0
293	3.62	3.44	0
293	1.14	3.44	0
303	3.72	0	2
303	4	3.44	0
293	0.13	0	2
291	3.5	3.44	0
307	4.54	3.44	0
309	0.65	2.43	0
309	0	2.43	0
307	4.19	3.44	0
291	3.89	3.44	0
291	3.25	3.44	0
291	3.64	3.44	0
293	3.26	3.44	0
303	5.13	3.44	0
307	0.98	3.44	0
293	4.02	3.44	0
307	2.72	3.44	0
299	0	0	2
309	0.56	1.25	0
295	4.43	3.44	0
293	0.14	0	2
309	3.31	2.43	0
295	4.28	3.44	0
293	3.82	3.44	0
303	1	3.44	0
299	1.12	0	1
295	1.96	3.44	0
291	2.88	3.44	0
293	2.78	3.44	0
291	3.41	3.44	0
293	3.64	3.44	0
309	1.28	2.43	0
295	1.96	3.44	0
309	0.5	2.43	0
309	0	0	1
291	3.45	3.44	0
295	4.18	3.44	0
293	0.38	3.44	0
299	0	0	1
293	3.62	3.44	0
307	3.61	0	2
299	0	0	1
291	2.67	3.44	0
291	3.31	3.44	0
291	4	3.44	0
293	4.09	3.44	0
295	4.29	3.44	0
293	0.75	3.44	0
293	3.26	3.44	0
299	0.65	0	1
293	4.64	3.44	0
291	3.79	3.44	0
309	1.36	1.25	0
309	0	0	2
299	2.25	0	1
291	3.81	3.44	3.4
299	0	0	1
