CT2010	BuiltFAR	ResidFAR	CommFAR
200	2.57	7.52	6
220	2.61	3.44	0
200	2.74	3.44	0
200	2.44	3.44	0
222	2.38	3.44	0
220	1.59	4	0
220	2.1	3.44	0
222	1.82	4	0
222	2.73	3.44	0
222	1.63	4	0
222	1.64	4	0
222	2.75	3.44	0
220	2.52	3.44	0
200	2.04	3.44	0
200	1.98	3.44	0
220	2.01	3.44	0
200	5	3.44	0
222	2.17	4	0
220	1.94	3.44	0
222	1.65	3.44	0
200	1.91	3.44	0
220	1.56	3.44	0
200	2.5	3.44	0
200	2.47	3.44	0
220	2.02	3.44	0
222	2.99	4	0
220	1.6	4	0
222	3.65	10	10
220	2.14	3.44	0
200	3.3	3.44	0
220	3.66	4	0
220	2.2	3.44	0
200	2.67	3.44	0
222	5.13	6	0
220	2.01	3.44	0
220	1.82	4	0
222	1.34	3.44	0
200	2.38	3.44	0
200	2.6	3.44	0
222	1.65	4	0
222	2.75	3.44	0
220	1.81	3.44	0
222	2.38	3.44	0
222	1.61	4	0
220	2.36	3.44	0
220	1.97	3.44	0
220	4.8	3.44	0
222	1.55	3.44	0
220	2.06	3.44	0
222	0.98	7.52	6
200	2.38	3.44	0
200	1.71	10	10
222	3	7.52	6
222	1.78	4	0
222	0	4	0
220	2.29	3.44	0
222	1.78	4	0
220	1.49	3.44	0
222	1.82	4	0
220	1.94	4	0
200	11.91	10	10
200	3.74	7.52	6
200	2.42	7.52	6
200	1.66	3.44	0
200	2.16	3.44	0
222	5.7	10	10
220	2.67	3.44	0
200	1.51	3.44	0
222	1.86	4	0
222	1.63	4	0
220	2.51	3.44	0
200	4.51	3.44	0
200	1.75	3.44	0
220	2.93	3.44	0
200	1.82	3.44	0
220	2.18	3.44	0
200	2.23	3.44	0
200	1.47	3.44	0
220	3.86	4	0
200	3.19	7.52	6
200	3.73	3	0
200	2.47	3.44	0
222	1.34	4	0
200	1.57	3.44	0
222	1.86	4	0
200	2.22	3.44	0
220	2.06	3.44	0
220	1.67	3.44	0
222	5.18	3.44	0
222	5.21	3.44	0
200	2.3	3.44	0
222	2.28	3.44	0
220	1.28	4	0
222	2.48	3.44	0
222	1.49	4	0
220	0	4	0
222	1.49	6.02	0
222	0	4	0
222	1.63	4	0
220	0.92	3.44	0
200	3.53	7.52	6
222	1.55	3.44	0
222	1.63	4	0
218	0.8	3.44	0
222	3.73	3.44	3.4
200	1.72	3.44	0
220	5.1	3.44	0
222	3.98	4	0
222	1.83	3.44	3.4
222	1.55	3.44	0
220	1.93	3.44	0
222	2.28	3.44	0
220	4.13	3.44	0
222	0	3.44	0
200	2.58	3.44	0
222	4.64	3.44	0
200	5.17	3.44	0
220	2.05	3.44	0
222	4.65	10	10
222	1.49	3.44	0
220	1.88	3.44	0
220	2.4	3.44	0
200	4.16	4	4
200	1	7.52	6
222	2.3	4	0
220	2.38	3.44	0
222	3.48	4	0
220	1.59	4	0
220	3.02	3.44	0
222	3.38	4	4
220	2.47	3.44	0
220	1.66	3.44	0
220	2.09	3.44	0
222	2.14	3.44	0
222	2.12	3.44	0
220	2.35	3.44	0
220	1.66	3.44	0
220	1.54	3.44	0
200	3.77	3.44	0
200	2.72	3.44	0
220	3.34	3.44	0
200	3.65	3.44	0
222	2.68	3.44	3.4
220	1.63	4	0
220	3.54	3.44	0
222	2.18	3.44	0
222	5.23	3.44	0
220	1.84	3.44	0
220	2.7	3.44	0
200	1.65	3	0
200	1.53	3	0
200	2.37	3	0
222	4.89	6.02	3.4
200	1.54	3.44	0
220	1.89	3.44	0
200	2.51	3.44	0
220	3.2	3.44	0
220	4.41	3.44	0
220	2.43	3.44	0
218	3.88	3.44	0
222	3.38	3.44	0
220	3.53	4	0
220	2.39	3.44	0
200	2.18	3.44	0
222	4.7	4	0
220	1.63	3.44	0
222	0.93	3.44	0
222	1.34	3.44	0
222	3.25	3.44	0
200	2.04	3.44	0
257	1.59	6.02	3.4
200	2.18	3.44	0
220	1.55	3.44	0
220	3.93	3.44	0
220	2.14	3.44	0
220	2.1	3.44	0
220	3.84	3.44	0
222	3.26	6.02	3.4
220	1.61	3.44	0
220	3.86	3.44	0
220	3.97	3.44	0
220	2.42	4	0
220	1.98	4	0
220	1.76	3.44	0
220	2.4	3.44	0
222	1.5	7.52	6
220	1.56	3.44	0
220	2.45	3.44	0
220	2.74	3.44	0
220	2.07	4	0
222	3.78	3.44	3.4
200	2.27	3.44	0
222	2.43	4	0
220	2.61	3.44	0
200	3.19	7.52	6
220	1.82	3.44	0
220	2.41	3.44	0
200	1.92	3.44	0
220	4.41	3.44	0
220	2.44	3.44	0
220	2.47	3.44	0
200	2.44	3.44	0
222	2.57	3.44	0
222	3.75	4	0
222	0	4	0
222	3	10	10
200	3.75	4	4
220	2.42	3.44	0
220	1.82	3.44	0
200	1.53	3	0
220	1.8	3.44	0
220	1.7	3.44	0
222	4.66	6	0
222	2.44	3.44	0
200	2.18	3.44	0
220	4.67	3.44	0
222	1.72	4	0
222	1.77	3.44	0
220	1.63	3.44	0
222	3.82	4	0
220	1.98	3.44	0
222	2.63	3.44	3.4
200	0	4	4
220	4.76	3.44	0
222	1.64	4	0
200	2.92	3	0
200	1.51	3.44	0
200	2.35	3.44	0
222	1.34	4	0
200	2.22	3.44	0
222	1.91	4	0
222	1.63	3.44	0
222	2.75	3.44	0
222	2.01	7.52	6
220	2.42	3.44	0
222	0.74	7.52	6
222	2.66	3.44	3.4
222	1.82	4	0
222	2.03	6.02	0
222	8.4	6	0
222	1.65	3.44	0
200	1.62	3.44	0
220	1.55	4	0
220	1.54	3.44	0
218	3.91	3.44	0
200	2.74	3.44	0
200	1.73	3.44	0
222	6.65	7.52	6
220	1.79	3.44	0
200	3.37	3.44	0
222	2.82	4	0
220	3.98	3.44	0
220	1.48	3.44	0
222	3	7.52	6
220	2.55	3.44	0
200	2.47	3.44	0
220	6.35	3.44	0
222	3.57	3.44	3.4
220	1.63	3.44	0
222	2.87	3.44	0
222	2.46	4	0
200	2.85	3.44	0
220	3.6	4	0
220	3.7	4	0
222	2.97	6.02	0
200	2	3.44	0
220	1.86	3.44	0
222	1.61	4	0
220	2.42	3.44	0
220	2.81	4	0
220	1.93	3.44	0
222	0	4	0
220	1.66	3.44	0
220	1.94	3.44	0
222	1.55	3.44	0
222	1.96	3.44	0
220	2.32	3.44	0
222	1.49	3.44	0
218	3.88	3.44	0
200	1.14	3.44	0
222	1.98	6.02	0
220	1.94	4	0
200	2.86	3.44	0
222	1.49	3.44	0
222	0	4	0
220	1.72	3.44	0
200	3.24	3.44	0
220	2.54	3.44	0
200	2.48	3.44	0
220	1.42	3.44	0
200	2.44	3.44	0
222	4.32	6.02	3.4
200	3	3.44	0
222	2.9	10	10
222	3.67	3.44	0
222	0	3.44	0
200	1.53	3	0
220	2.42	3.44	0
222	1.64	4	0
220	4.16	3.44	0
222	3.71	3.44	3.4
220	1.58	4	0
220	3.23	3.44	0
222	1.64	4	0
200	2.44	3.44	0
200	2.51	3.44	0
200	1.66	3.44	0
220	2.02	3.44	0
222	2.81	6.02	3.4
200	2.44	3.44	0
200	4	10	10
200	2.83	3.44	0
218	4.16	3.44	0
220	1.98	3.44	0
220	1.55	3.44	0
200	2	7.52	6
222	3.18	4	0
220	1.9	4	0
220	2.26	4	0
222	2.06	3.44	0
220	1.93	3.44	0
222	2.47	3.44	0
222	4.65	3.44	0
222	3.71	10	10
200	4.71	3.44	0
200	2.57	7.52	6
220	2.37	3.44	0
222	1.79	4	0
200	1.86	3.44	0
220	4	3.44	0
222	0	6	0
222	4.63	3.44	0
200	1.78	3.44	0
220	2.33	3.44	0
220	4.6	3.44	0
222	2.1	3.44	0
200	1.66	3.44	0
220	1.8	3.44	0
222	3.25	3.44	0
200	2.5	3.44	0
220	3.88	4	0
220	4.47	3.44	0
200	1.78	3.44	0
220	4.03	4	0
200	1.8	3.44	0
200	2.93	3.44	0
200	4.08	3.44	0
200	1.51	3.44	0
222	7.13	3.44	3.4
222	2.28	3.44	0
220	3.49	3.44	0
220	1.81	3.44	0
220	1.68	4	0
222	2.06	3.44	0
200	2.21	3.44	0
222	1.63	4	0
200	3.56	3.44	0
222	1.52	4	0
220	3.98	4	0
222	2.24	7.52	6
200	1.91	3.44	0
220	3.74	4	0
220	3.82	3.44	0
222	1.98	3.44	0
200	3.1	3.44	0
220	1.81	3.44	0
220	1.98	3.44	0
222	2.78	4	0
222	1.55	3.44	0
220	1.55	4	0
200	1.38	4	4
222	6.84	6.02	0
222	1.55	3.44	0
222	4.31	3.44	3.4
200	1.51	3.44	0
220	4.63	3.44	0
220	1.55	4	0
220	2.06	3.44	0
222	2.23	4	0
218	4.65	3.44	0
222	4.22	3.44	0
220	2.37	3.44	0
222	4.01	3.44	0
220	3.73	4	0
200	2	3.44	0
220	1.77	3.44	0
200	3.55	3.44	0
200	1.78	3.44	0
220	1.72	3.44	0
200	1.76	4	4
222	0	4	0
220	2.38	4	0
220	2.18	3.44	0
220	4.22	3.44	0
220	1.78	3.44	0
222	3	3.44	3.4
222	2.3	4	0
200	3.96	3.44	0
257	5.03	6.02	3.4
220	4.76	3.44	0
200	3.19	7.52	6
220	1.77	3.44	0
222	2.43	4	0
222	1.71	4	0
220	2.22	3.44	0
200	1.51	3.44	0
200	2.02	3.44	0
222	1.53	6.02	0
200	2.22	3.44	0
200	1.68	3	0
200	1.68	3	0
200	2.97	3.44	0
222	3.7	6.02	3.4
200	3.1	3.44	0
220	4	3.44	0
200	2.31	3.44	0
220	3.91	4	0
222	4	3.44	0
222	0	6	0
220	5.76	3.44	0
200	1.98	3.44	0
222	1.64	4	0
220	2.51	3.44	0
220	0	4	0
220	1.88	3.44	0
220	2.04	3.44	0
222	1.55	3.44	0
222	4.8	3.44	0
220	1.84	4	0
222	2.03	3.44	0
200	0	3	0
222	3.6	3.44	0
200	2.73	3.44	0
222	1.26	3.44	0
222	2.06	3.44	0
200	2.46	3.44	0
220	2.14	3.44	0
220	1.88	3.44	0
220	3.09	3.44	0
220	1.79	3.44	0
200	2.18	3.44	0
200	1.55	3.44	0
200	2.84	3.44	0
222	2.67	3.44	3.4
220	1.93	3.44	0
222	4.32	3.44	0
222	1.04	7.52	6
220	1.75	3.44	0
200	2.9	4	4
220	2.55	3.44	0
222	3.73	3.44	3.4
222	3.98	4	0
220	2.43	3.44	0
220	2.54	4	0
200	1.98	3	0
200	1.72	3.44	0
220	2.74	3.44	0
222	1.49	4	0
222	5.35	4	0
200	2.02	3.44	0
222	9.38	6.02	3.4
222	5.88	3.44	0
220	1.82	3.44	0
200	3.55	3.44	0
222	0.97	3.44	0
200	2.43	3	0
222	1.96	3.44	0
200	2.61	3.44	0
220	2.18	3.44	0
222	4.54	6	0
200	5.44	3.44	0
220	1.82	4	0
220	1.82	3.44	0
220	2.39	3.44	0
200	2.92	4	4
220	1.65	3.44	0
200	1.51	3.44	0
222	3.47	3.44	3.4
200	2.61	3.44	0
220	3.6	4	0
220	1.73	3.44	0
222	1.8	4	0
222	2.32	10	10
222	3.78	3.44	3.4
200	2.01	3	0
220	2.72	3.44	0
222	6.01	3.44	0
220	2.67	3.44	0
222	3.47	3.44	3.4
222	1.71	4	0
222	3.86	4	0
200	1.51	3.44	0
200	2.69	3.44	0
222	0.6	6.02	3.4
220	1.82	4	0
200	0	4	4
200	6.03	4	4
222	1.99	3.44	0
222	3.84	4	0
222	2.22	3.44	0
220	4.63	3.44	0
200	5.24	3.44	0
222	2.91	4	0
222	4.01	4	0
220	3.6	3.44	0
220	1.88	4	0
222	2.24	3.44	0
222	1.8	4	0
200	3.69	3.44	0
220	1.79	3.44	0
222	1.74	3.44	0
200	1	7.52	6
220	2.15	3.44	0
222	1.78	3.44	0
200	1.65	3	0
200	5.78	3.44	0
222	2.82	6	0
220	2.08	3.44	0
220	1.82	3.44	0
200	2.18	3.44	0
222	0	4	0
220	1.73	3.44	0
222	1.24	7.52	6
222	2.75	3.44	0
220	1.66	4	0
222	4.43	3.44	3.4
200	4	3.44	0
222	0.96	7.52	6
220	2.51	3.44	0
220	1.7	3.44	0
200	2.47	3.44	0
222	2.37	3.44	0
222	5.35	6.02	3.4
220	2.99	3.44	0
222	2.75	3.44	0
222	1	7.52	6
220	2.2	3.44	0
222	1.63	3.44	0
220	2.06	3.44	0
220	3.22	3.44	0
222	4.27	3.44	0
220	2.4	3.44	0
200	3.02	3.44	0
200	2.18	3.44	0
220	2.18	3.44	0
200	1.63	3.44	0
222	1.82	3.44	3.4
220	2.81	4	0
222	1.82	3.44	0
220	2.58	3.44	0
220	1.55	3.44	0
220	2.5	3.44	0
218	4.53	3.44	0
220	2.18	3.44	0
220	1.63	3.44	0
220	4.95	4	0
220	2.06	3.44	0
200	0	3	0
220	2.54	3.44	0
222	3.72	3.44	3.4
220	1.49	3.44	0
220	2.18	3.44	0
220	1.64	3.44	0
200	1.98	3.44	0
220	1.94	4	0
222	2.63	3.44	3.4
222	1.49	6.02	0
220	2.4	3.44	0
220	3.6	3.44	0
220	2.69	4	0
220	3	3.44	0
222	7.03	3.44	3.4
220	4	3.44	0
220	1.48	3.44	0
218	3.79	3.44	0
220	2.39	3.44	0
220	2.07	3.44	0
200	2.18	3.44	0
200	2.08	3.44	0
220	2.74	4	0
222	0.87	7.52	6
222	1.99	7.52	6
220	4.3	3.44	0
222	2.64	3.44	0
222	1.94	3.44	0
220	1.54	3.44	0
200	1.48	3.44	0
222	2.28	3.44	0
220	2.4	3.44	0
222	2.17	4	0
200	1.51	3.44	0
200	1.6	3.44	0
222	1.41	3.44	3.4
222	0.95	6.02	3.4
220	1.15	3.44	0
200	2.61	7.52	6
200	1.48	3.44	0
220	2.33	3.44	0
222	2.82	4	0
200	1.53	3	0
220	3.6	4	0
222	0	3.44	0
222	0	3.44	0
222	1.92	4	0
220	1.77	3.44	0
222	7	3.44	0
220	1.93	3.44	0
220	3.5	3.44	0
220	0	4	0
220	2.53	3.44	0
200	2.66	10	10
222	6.76	6.02	3.4
220	1.55	4	0
222	3.47	3.44	3.4
200	0.85	3.44	0
222	1.64	4	0
200	3.9	4	4
220	5.22	3.44	0
222	2.96	3.44	0
222	3.83	4	0
200	2.4	3.44	0
220	2.38	4	0
200	1.95	3.44	0
220	2.29	3.44	0
222	6.01	3.44	0
222	2.96	3.44	0
222	4.82	6.02	3.4
220	2.02	3.44	0
220	1.38	3.44	0
222	12.82	7.52	6
222	5.36	4	0
220	1.55	3.44	0
220	1.55	3.44	0
222	2.75	3.44	0
200	3.36	3.44	0
220	3.98	4	0
222	3.1	3.44	0
200	3.03	3.44	0
 	0	0	0
200	3	3	0
200	5.71	4	4
200	3.9	4	4
200	1.13	3	0
200	3.09	4	4
200	3.96	4	4
200	2.81	4	4
200	1.6	3	0
200	1.79	4	4
200	2.93	3	0
200	1.53	3	0
200	2.35	3	0
200	2.47	4	4
200	4.02	4	4
200	2.6	3	0
200	0	3	0
200	3.55	4	4
200	2.82	4	4
200	4.42	10	10
200	1.89	3	0
200	3.15	3	0
200	1.69	3	0
200	2.41	3	0
200	1.8	3	0
200	0.96	4	4
200	4.39	10	10
200	2.28	3	0
200	4.05	4	4
200	1.43	3	0
200	2.62	4	4
200	3.75	4	4
200	3.78	4	4
200	3.65	10	10
200	3.38	4	4
200	1.5	3	0
200	3.8	4	4
200	4.9	4	4
200	3.32	3	0
200	4.66	4	4
257	1	6.02	3.4
257	0	6.02	3.4
257	2.88	6.02	3.4
257	1	6.02	3.4
257	1	6.02	3.4
257	3.28	6.02	3.4
257	1.91	6.02	3.4
257	4.29	6.02	3.4
257	6.6	6.02	3.4
222	0.7	6.02	3.4
257	2.56	6.02	3.4
257	4.81	6.02	3.4
257	2	6.02	3.4
257	2.91	6.02	3.4
218	3.23	4	0
201.02	3.09	6	0
201.02	2.95	6	0
201.02	11.96	4	0
201.02	3.19	4	0
201.02	1.71	4	0
218	5.13	3.44	0
222	3.73	4	0
222	6.87	10	10
	2.833436533	4.044602683	0.450773994
