CT2010	BuiltFAR	ResidFAR	CommFAR
216	3.8	3.44	0
257	2.38	3	0
220	3.39	4	0
257	2.38	3	0
257	4.97	6	0
257	2.82	3	0
201.02	4.55	4	0
216	1.69	4	0
201.02	3.25	4	0
201.02	1.97	4	0
220	7.15	6	0
197.02	3.86	4	0
197.02	3.4	4	0
218	0.99	4	0
197.02	2.99	6	0
220	3.1	6	0
257	5.66	6	0
201.02	5.35	6	0
201.02	2.06	4	0
216	1.87	4	0
197.02	1.49	4	0
216	1.86	4	0
201.02	5.13	6	0
197.02	3.93	4	0
201.02	3.19	4	0
201.02	3.99	4	0
201.02	4.22	6	0
216	4.01	6	0
216	4.25	6	0
201.02	2.78	4	0
216	4.31	4	0
216	2.03	3.44	0
216	3.71	3.44	0
257	2.17	3	0
216	3.88	3.44	0
197.02	4.57	6	0
201.02	3.91	4	0
220	3.39	4	0
201.02	1.49	4	0
218	1.85	3.44	0
216	3.51	6	0
220	4	4	0
216	6.19	3.44	0
216	4.31	4	0
218	0.96	6	0
257	2.3	3	0
257	2.38	3	0
257	2.54	3	0
218	4	6	0
216	1.75	4	0
220	4.64	6	0
218	3.7	4	0
201.02	3.7	4	0
197.02	3.71	4	0
201.02	3.72	4	0
216	2.18	4	0
216	0	3.44	0
201.02	4.31	4	0
257	2.38	3	0
220	4.02	6	0
201.02	3.37	4	0
216	6.03	3.44	0
257	1.78	3	0
197.02	1.9	4	0
257	2.27	4	0
257	2.55	4	0
257	1.09	4	0
197.02	2.69	6	0
218	3.35	4	0
257	2.38	3	0
218	4.63	6	0
216	3.01	6	0
201.02	0.28	6	0
218	1.84	4	0
197.02	4.51	6	0
218	3.71	4	0
257	1.94	3	0
216	1.98	4	0
201.02	3.69	4	0
220	2.14	4	0
201.02	3.86	4	0
197.02	3.85	4	0
257	3.73	4	0
197.02	3.73	6	0
257	3.79	4	0
197.02	2	4	0
216	4.26	6	0
201.02	4.08	6	0
257	5.8	4	0
201.02	1.51	4	0
197.02	4.06	4	0
197.02	1.98	4	0
197.02	2	4	0
197.02	1.98	4	0
218	3.45	4	0
218	4.95	4	0
201.02	1.98	4	0
201.02	3.18	4	0
220	4.65	6	0
216	1.59	4	0
216	3.83	4	0
216	1.48	4	0
216	3.31	3.44	0
218	1	6	0
216	3.78	3.44	0
220	4.61	4	0
218	4.58	6	0
257	2.16	3	0
220	7.02	6	0
201.02	6.89	6	0
257	4.02	6.02	3.4
257	1.84	3	0
201.02	3.86	6	0
216	3.82	3.44	0
201.02	1.98	4	0
216	2.66	4	0
216	3.72	4	0
257	2.8	3	0
197.02	4.07	10	2
201.02	5.9	4	0
257	4.64	6	0
220	3.86	6	0
197.02	1.9	4	0
216	4.13	6	0
257	2.39	3	0
197.02	5.13	4	0
197.02	3.26	4	0
220	4.47	6	0
257	4.63	6	0
218	5.4	4	0
216	3.78	3.44	0
216	2.18	4	0
257	3.03	3	0
201.02	1.98	4	0
257	2.38	3	0
257	1.84	3	0
216	2.23	3.44	0
257	1.78	3	0
216	6.11	3.44	0
257	6.52	6	0
218	2.91	4	0
201.02	2.96	4	0
257	4.49	4	0
201.02	3.2	6	0
218	5	6	0
220	3.39	4	0
257	0	6.02	3.4
218	1.38	4	0
216	5.7	4	0
257	1.08	4	0
257	3.03	3	0
197.02	3.07	4	0
257	2.61	3	0
218	3.82	4	0
257	3.13	4	0
 	0	0	0
220	5.82	4	0
201.02	3.72	4	0
257	1.46	4	0
216	3.79	4	0
216	4.42	3.44	0
216	5.5	3.44	0
197.02	3.99	10	2
257	1.08	4	0
216	3.69	3.44	0
257	2.3	3	0
220	1.55	4	0
257	0	4	0
201.02	3.71	4	0
257	3.26	3	0
257	3.36	3	0
257	2.14	3	0
201.02	3.86	6	0
257	1.09	4	0
220	2.08	6	0
257	5.66	6	0
257	2.87	3	0
201.02	6.17	4	0
216	6.48	6	0
257	1.78	3	0
216	3.71	3.44	0
201.02	3.89	6	0
216	4.59	6.02	0
216	4.06	3.44	0
257	1.81	3	0
218	2.15	6	0
216	4.28	3.44	0
216	4.2	6.02	0
197.02	3.25	4	0
220	3.92	6	0
257	1.1	4	0
197.02	3.4	4	0
201.02	3.27	4	0
257	3.91	4	0
220	3.1	6	0
201.02	3.91	4	0
201.02	3.7	6	0
218	3.55	4	0
218	1.84	4	0
201.02	4.55	6	0
257	1.96	6	0
216	4.05	6	0
197.02	4.52	4	0
197.02	1.9	4	0
216	3.54	3.44	0
216	1.96	4	0
216	5.85	3.44	0
197.02	4.13	4	0
201.02	4.33	4	0
218	3.02	6	0
216	3.83	3.44	0
201.02	1.56	4	0
201.02	4.03	4	0
201.02	4.49	4	0
257	5.25	4	0
201.02	4.02	4	0
201.02	1.3	4	0
220	3.9	6	0
257	2.54	3	0
220	3.96	6	0
218	3.65	4	0
201.02	0	4	0
257	11.1	6	0
216	4.64	3.44	0
201.02	3.42	4	0
216	5.32	3.44	0
220	3.91	6	0
257	2.3	3	0
201.02	2.06	4	0
257	3.34	4	0
216	3.22	4	0
201.02	2.84	4	0
197.02	4.07	10	2
201.02	3.72	4	0
257	2.38	3	0
257	3.86	6	0
216	2.48	3.44	0
257	2.38	3	0
201.02	3.17	4	0
197.02	3.66	4	0
201.02	0	4	0
216	3.55	3.44	0
257	3.03	3	0
218	5.26	4	0
197.02	1.98	4	0
201.02	3.49	4	0
201.02	3.2	4	0
257	2.92	3	0
201.02	3.91	4	0
201.02	5.27	6	0
197.02	3.25	4	0
216	3.83	3.44	0
218	4.69	3.44	0
257	2.8	3	0
216	4.17	4	0
257	3.5	4	0
220	0	6	0
218	3.47	4	0
257	2.38	3	0
218	3.82	4	0
257	3.63	6	0
216	4.71	3.44	0
220	2.77	6	0
216	3.46	4	0
218	4.42	4	0
201.02	2.43	6	0
220	5.56	4	0
218	4.42	4	0
201.02	2.4	4	0
201.02	1.98	4	0
201.02	3.8	4	0
257	2.69	3	0
257	1.78	3	0
218	1.68	6	0
220	3.5	6	0
201.02	3.69	4	0
257	2.3	3	0
218	3.34	4	0
201.02	3.86	4	0
220	4.46	6	0
257	2.88	4	0
257	2.38	3	0
257	3.86	6	0
197.02	1.76	0	0
201.02	4.04	6	0
216	4.04	3.44	0
216	4.13	3.44	0
218	0	4	0
257	0.66	4	0
218	3.65	4	0
216	3.68	3.44	0
216	2.21	4	0
197.02	1.98	4	0
201.02	1.56	4	0
216	3.55	3.44	0
218	3.71	3.44	0
216	5.16	3.44	0
201.02	3.32	4	0
218	6.45	6	0
201.02	4.73	4	0
216	3.83	3.44	0
220	3.66	6	0
216	1.7	3.44	0
216	5.32	4	0
257	2.1	3	0
257	2.87	3	0
220	1.56	6	0
201.02	4.03	4	0
216	4.01	6	0
218	4.43	4	0
218	0	6	0
218	4.06	6	0
216	4.26	4	0
201.02	1.47	4	0
257	8.91	6.02	3.4
257	5.06	4	0
201.02	4.54	4	0
216	1.11	6.02	0
218	2.52	3.44	0
216	4.05	6	0
201.02	0	4	0
218	0	6	0
257	2.56	3	0
216	2.39	3.44	0
216	4.57	4	0
218	3.25	4	0
201.02	2.4	4	0
216	3.79	4	0
220	1.59	4	0
218	3.7	4	0
220	1.55	4	0
216	3.88	3.44	0
201.02	4.51	4	0
